ticker,name,sector,market
1301,極洋,水産・農林業,プライム
1332,日本水産,水産・農林業,プライム
1333,マルハニチロ,水産・農林業,プライム
1518,三井松島ホールディングス,鉱業,スタンダード
1605,INPEX,鉱業,プライム
1662,石油資源開発,鉱業,プライム
1801,大成建設,建設業,プライム
1802,大林組,建設業,プライム
1803,清水建設,建設業,プライム
1812,鹿島建設,建設業,プライム
1821,三井住友建設,建設業,プライム
1925,大和ハウス工業,建設業,プライム
1928,積水ハウス,建設業,プライム
1963,日揮ホールディングス,建設業,プライム
2002,日清製粉グループ本社,食料品,プライム
2269,明治ホールディングス,食料品,プライム
2282,日本ハム,食料品,プライム
2502,アサヒグループホールディングス,食料品,プライム
2503,キリンホールディングス,食料品,プライム
2801,キッコーマン,食料品,プライム
2802,味の素,食料品,プライム
2871,ニチレイ,食料品,プライム
2914,日本たばこ産業,食料品,プライム
3086,Jフロントリテイリング,小売業,プライム
3382,セブン&アイ・ホールディングス,小売業,プライム
3401,帝人,繊維製品,プライム
3402,東レ,繊維製品,プライム
3407,旭化成,化学,プライム
3436,SUMCO,半導体・電子部品,プライム
3659,ネクソン,情報・通信業,プライム
3661,エムスリー,情報・通信業,プライム
3665,エニグモ,情報・通信業,グロース
3668,コロプラ,情報・通信業,プライム
3673,ブロードリーフ,情報・通信業,グロース
3689,イグニス,情報・通信業,グロース
3697,SHIFT,情報・通信業,プライム
3706,フルスピード,情報・通信業,グロース
3726,フォーシーズホールディングス,情報・通信業,グロース
3765,ガンホー・オンライン・エンターテイメント,情報・通信業,スタンダード
3769,GMOペイメントゲートウェイ,情報・通信業,プライム
3774,インターネットイニシアティブ,情報・通信業,プライム
3778,さくらインターネット,情報・通信業,プライム
3779,ジェイ・エスコム ホールディングス,情報・通信業,グロース
3799,キーウェアソリューションズ,情報・通信業,スタンダード
3861,王子ホールディングス,パルプ・紙,プライム
3863,日本製紙,パルプ・紙,プライム
3864,三菱製紙,パルプ・紙,プライム
3865,北越コーポレーション,パルプ・紙,プライム
3941,レンゴー,パルプ・紙,プライム
4004,昭和電工,化学,プライム
4005,住友化学,化学,プライム
4021,日産化学,化学,プライム
4042,東ソー,化学,プライム
4043,トクヤマ,化学,プライム
4044,セントラル硝子,化学,プライム
4045,東亞合成,化学,プライム
4061,デンカ,化学,プライム
4063,信越化学工業,化学,プライム
4151,協和キリン,医薬品,プライム
4183,三井化学,化学,プライム
4188,三菱ケミカルグループ,化学,プライム
4208,宇部興産,化学,プライム
4307,野村総合研究所,情報・通信業,プライム
4321,ケネディクス,不動産業,プライム
4324,電通グループ,サービス業,プライム
4385,メルカリ,情報・通信業,プライム
4401,アドバンテスト,電気機器,プライム
4452,花王,化学,プライム
4502,武田薬品工業,医薬品,プライム
4503,アステラス製薬,医薬品,プライム
4507,塩野義製薬,医薬品,プライム
4519,中外製薬,医薬品,プライム
4523,エーザイ,医薬品,プライム
4527,ロート製薬,医薬品,プライム
4543,テルモ,精密機器,プライム
4568,第一三共,医薬品,プライム
4578,大塚ホールディングス,医薬品,プライム
4589,アキュリスファーマ,医薬品,グロース
4612,日本ペイントホールディングス,化学,プライム
4661,オリエンタルランド,サービス業,プライム
4689,Zホールディングス,情報・通信業,プライム
4704,トレンドマイクロ,情報・通信業,プライム
4751,サイバーエージェント,情報・通信業,プライム
4755,楽天グループ,情報・通信業,プライム
4765,SBIホールディングス,証券・商品先物取引業,プライム
4812,電子情報技術産業,情報・通信業,スタンダード
4816,東映アニメーション,情報・通信業,プライム
4832,JFEシステムズ,情報・通信業,スタンダード
4901,富士フイルムホールディングス,化学,プライム
4902,コニカミノルタ,化学,プライム
4911,資生堂,化学,プライム
5019,出光興産,石油・石炭製品,プライム
5020,ENEOSホールディングス,石油・石炭製品,プライム
5101,横浜ゴム,ゴム製品,プライム
5105,東洋タイヤ,ゴム製品,プライム
5108,ブリヂストン,ゴム製品,プライム
5201,AGC,ガラス・土石製品,プライム
5214,日本電気硝子,ガラス・土石製品,プライム
5232,住友大阪セメント,ガラス・土石製品,プライム
5233,太平洋セメント,ガラス・土石製品,プライム
5301,東海カーボン,ガラス・土石製品,プライム
5332,TOTO,ガラス・土石製品,プライム
5333,日本ガイシ,ガラス・土石製品,プライム
5334,日本特殊陶業,ガラス・土石製品,プライム
5401,日本製鉄,鉄鋼,プライム
5406,神戸製鋼所,鉄鋼,プライム
5411,JFEホールディングス,鉄鋼,プライム
5461,中部鋼鈑,鉄鋼,スタンダード
5463,丸一鋼管,鉄鋼,プライム
5471,大同特殊鋼,鉄鋼,プライム
5481,山陽特殊製鋼,鉄鋼,プライム
5486,日立金属,鉄鋼,プライム
5541,大平洋金属,非鉄金属,プライム
5707,東邦亜鉛,非鉄金属,プライム
5711,三菱マテリアル,非鉄金属,プライム
5713,住友金属鉱山,非鉄金属,プライム
5714,DOWAホールディングス,非鉄金属,プライム
5715,古河機械金属,非鉄金属,スタンダード
5802,住友電気工業,非鉄金属,プライム
5803,フジクラ,非鉄金属,プライム
5901,東洋製罐グループホールディングス,金属製品,プライム
5938,LIXIL,金属製品,プライム
5947,リンナイ,金属製品,プライム
5951,ダイキン工業,機械,プライム
6003,荏原製作所,機械,プライム
6028,テクノプロ・ホールディングス,サービス業,プライム
6055,ジャパンマテリアル,サービス業,グロース
6103,オークマ,機械,プライム
6113,アマダホールディングス,機械,プライム
6146,ディスコ,機械,プライム
6178,日本郵政,サービス業,プライム
6201,豊田自動織機,機械,プライム
6273,SMC,機械,プライム
6301,小松製作所,機械,プライム
6302,住友重機械工業,機械,プライム
6305,日立建機,機械,プライム
6315,TOWA,機械,プライム
6326,クボタ,機械,プライム
6361,荏原製作所,機械,プライム
6367,ダイキン工業,機械,プライム
6370,栗田工業,機械,プライム
6376,日機装,機械,プライム
